Datapath ID,Port,rx Packets,rx Bytes,rx Errors
6,1,13,1006,0
6,2,13,1006,0
6,3,13,1006,0
6,4,13,1006,0
6,5,13,1006,0
6,6,13,1006,0
6,7,13,1006,0
6,8,13,1006,0
6,9,376,36076,0
6,4294967294,0,0,0
9,1,13,1006,0
9,2,13,1006,0
9,3,13,1006,0
9,4,13,1006,0
9,5,13,1006,0
9,6,13,1006,0
9,7,13,1006,0
9,8,13,1006,0
9,9,368,35537,0
9,4294967294,0,0,0
8,1,13,1006,0
8,2,13,1006,0
8,3,13,1006,0
8,4,13,1006,0
8,5,13,1006,0
8,6,13,1006,0
8,7,13,1006,0
8,8,13,1006,0
8,9,366,35357,0
8,4294967294,0,0,0
1,1,60,6692,0
1,2,64,7032,0
1,3,63,6829,0
1,4,72,7692,0
1,5,75,7942,0
1,6,81,8333,0
1,7,86,8864,0
1,8,84,8684,0
1,4294967294,0,0,0
2,1,13,1006,0
2,2,13,1006,0
2,3,13,1006,0
2,4,13,1006,0
2,5,13,1006,0
2,6,13,1006,0
2,7,13,1006,0
2,8,13,1006,0
2,9,391,37326,0
2,4294967294,0,0,0
3,1,13,1006,0
3,2,13,1006,0
3,3,13,1006,0
3,4,13,1006,0
3,5,13,1006,0
3,6,13,1006,0
3,7,13,1006,0
3,8,13,1006,0
3,9,388,37189,0
3,4294967294,0,0,0
5,1,13,1006,0
5,2,13,1006,0
5,3,13,1006,0
5,4,13,1006,0
5,5,13,1006,0
5,6,13,1006,0
5,7,13,1006,0
5,8,13,1006,0
5,9,379,36326,0
5,4294967294,0,0,0
7,1,13,1006,0
7,2,13,1006,0
7,3,13,1006,0
7,4,13,1006,0
7,5,13,1006,0
7,6,13,1006,0
7,7,13,1006,0
7,8,13,1006,0
7,9,371,35811,0
7,4294967294,0,0,0
4,1,13,1006,0
4,2,13,1006,0
4,3,13,1006,0
4,4,13,1006,0
4,5,13,1006,0
4,6,13,1006,0
4,7,13,1006,0
4,8,13,1006,0
4,9,388,37189,0
4,4294967294,0,0,0
